テラ 吉祥寺店(THE'RA),http://the-ra.com/,東京都武蔵野市吉祥寺本町１-4-16　サンク吉祥寺3F 
ヘア セノーテ(hair Cenote),,東京都武蔵野市吉祥寺本町１-2-1アソルティ吉祥寺2F 
ニュートラル(neutral),http://ukawa.sakura.ne.jp/index.html,東京都武蔵野市吉祥寺東町１-18-19　第7みすずビルB1 
ゼンコー 吉祥寺シエール店(ZENKO),http://www.zenko-hair.com,東京都武蔵野市吉祥寺本町２－２－７　プラザ・オギノ１F 
クレッシェンド 吉祥寺(CRESCENDO),,東京都武蔵野市吉祥寺本町２-18-5 villa kanon 1F 
フリッカ(FLYCKA),http://flycka-hair.com,東京都武蔵野市御殿山１-2-4 ゼクシア吉祥寺御殿山 2F  
クロード モネ 吉祥寺店(Claude MONET),http://www.claudemonet-web.com/,東京都武蔵野市吉祥寺本町２－１６－１８　フォーラムI　３F 
トリスト(tryst),http://www.tryst-hair.com/,東京都武蔵野市吉祥寺本町２－１３－４　井野ビル２F 
1001ミル ヘアーメイク プラス カフェ(1001 mille hairmake+cafe),http://www.1001mille.com/,東京都武蔵野市吉祥寺南町２－１１－１８清水ビル１Ｆ 
トゥーウィッシュ 吉祥寺(TWO WISH),http://www.two-wish.jp/,東京都武蔵野市吉祥寺本町１－１２－９ ユニゾ吉祥寺B1F 
ジラフ(giraf),http://giraf334.com/,東京都武蔵野市吉祥寺本町３-3-4 
トライベッカウエスト(TRIBECA WEST),http://www.tribeca-salon.jp/,東京都武蔵野市吉祥寺本町１-11-5　コピス吉祥寺 B館-８Ｆ 
アッシュ 吉祥寺店(Ash),http://www.ash-hair.com/salondata/detail/137,東京都武蔵野市吉祥寺本町２－２－３　藤野ビル２Ｆ 
キートスバイガーランド (Kiitos by Garland),http://garland-tokyo.jp/kiitos/,東京都武蔵野市吉祥寺本町２－２２－７ 
エトワル(etowal),,東京都武蔵野市吉祥寺本町１-10-5　吉祥寺公園通りビル６F 
カメリア 吉祥寺(Camellia),,東京都武蔵野市吉祥寺南町５-１-１０ 
ゼスト 吉祥寺店(ZEST),http://kichijoji.web-zest.co.jp/,東京都武蔵野市吉祥寺南町１-12-13　1F 
