チクロ(ticro),http://ticro.co.uk/ticro/info/,東京都目黒区上目黒１－１２－１４　パールハイツ１F 
スピーディー 祐天寺店(SPEEDY),http://www.speedy-tokyo.jp/,東京都目黒区祐天寺２－１２－２弘益社ビル２Ｆ 
ザポンドヘアトウキョウ 中目黒(The Pond Hair Tokyo),http://thepondhair.com/,東京都目黒区中目黒３-１３-２８ 
シナモン 中目黒(CINNAMON),http://www.salon-de-cinnamon.com/,東京都目黒区青葉台１-２５－１　K２ビル ３F 
アンド 中目黒(AND),http://www.and-hairmake.com/,東京都目黒区上目黒１-4-2 惣秀ビル1F 
ニコリ(nicoRi),http://nicori-hair.blogspot.jp/2014/08/blog-post.html,東京都目黒区上目黒５-12-26　鈴木ビル1F　 
ブリス(bliss),http://www.neophilia.cc/,東京都目黒区上目黒１-18-8パラドールナガサワ１F 
アトリエ ヴェール 恵比寿(Atelier Vert),,東京都渋谷区恵比寿西２-９-８　大澤ビル３F 
stand 【スタンド】,http://stand-net.com/,東京都目黒区中目黒１-2-5 
サロンアンド (SALON &),http://salon-and.tokyo/,東京都目黒区祐天寺２-8-10-101 
スリーピーモーニング 恵比寿(Sleepy Morning),http://commercial-art.wix.com/sleepy-morning,東京都渋谷区恵比寿南２-３-１　PAIZA恵比寿ビル１階 
キール(kir.),http://kirhair.com/,東京都渋谷区猿楽町13-5 代官山ステラハウス1-B 
ビーピージェイズ 中目黒店(BPJ’S),http://www.bplan.tokyo/,東京都目黒区上目黒２‐４３‐１１【中目黒】 
サロン ファンザ(salon funza),http://salon-funza.com/,東京都目黒区上目黒１-５-１０ オガワビル2F 
スリジェ7(CERISIER7),http://www.cerisier7.com,東京都目黒区上目黒１-10-5 フィールドストーン103 
カルテ 中目黒(KARTE),,東京都目黒区上目黒１-8-27　ライブフィールド中目黒1F 
リボーン 中目黒(Ribb∞n),http://www.ribbon-h.jp,東京都目黒区青葉台１-15-1 AK-1 annex 3F 
ノーカ(nohka),http://www.nohka.jp/,東京都渋谷区恵比寿西１-34-15ヒルズ代官山106 
ニコラ(nicola),http://www.nicola-web.com,東京都渋谷区恵比寿西１-32-12 山田ビル2F 
サロン ド クチュリエ(Salon de Couturier),http://www.couturier-hs.com/,東京都目黒区中目黒３－２－１９　ラミアール中目黒１０２ 
カナリア 中目黒(canaria),,東京都目黒区青葉台１-21-9-102(中目黒) 
ジェノビー(JENOBEE),,東京都渋谷区代官山町12-3 CREST代官山1F 
パラレル(PARALLEL),,東京都目黒区上目黒２-14-2橋爪ビル202 
ミニョン(Mignon),,東京都渋谷区恵比寿南１-2-6　サンポウエビスビル2F 
ジーブレス(gbless),,東京都目黒区上目黒３-１-５　本田ビル８階 
フラミンゴリリー(Flamingo lily),,東京都渋谷区恵比寿西１-10-1-1F 
ルーティーン(Routine),,東京都目黒区上目黒１－１６－９NEO中目黒ビル３F 
ドロップ エイチ(DROP H),,東京都目黒区青葉台１－１５－５－１１５ 
サロンド アクトレス 恵比寿店(salon de actress),,東京都渋谷区東３－２０－９ミューズクローケンビル１Ｆ 
グラム(gram),,東京都目黒区上目黒３-１４-１ アライビル１Ｆ 
センスティ(sense T),,東京都目黒区青葉台１－２２－６－２Ｆ 
コンプレックス(complex),,東京都目黒区三田２-8-1 
アンジリュミエール(Ange Lumiere),,東京都目黒区上目黒２-１２-１３　今井ビル２Ｆ 
ティーナ(TINA),,東京都渋谷区恵比寿西１-30-9 パサージュ代官山1F 
ダリア(Dahlia),,東京都渋谷区恵比寿南２-３-１３　山燃ビル3Ｆ 
ダイカンヤマソウ(daikanyama SOU),,東京都渋谷区猿楽町１２‐１０　ＤＨビル２Ｆ 
ニッティグリッティ(Nitty Gritty),,東京都目黒区東山３‐１２‐１４　大島コーポラス　１Ｆ 
サンベイス(Sunbathe),,東京都渋谷区恵比寿西２‐２１‐１５-３０１ 
ロストンヘアー(Roston HAIR),,東京都渋谷区猿楽町２０－６【代官山駅】【恵比寿駅】 
バロックヘア(Baroque hair),,東京都目黒区青葉台１-19-7　MSビル2F 
リトム(rythme),,東京都目黒区青葉台１-16-9サクラガーデンウエスト２F 
ハンジー ヘアギャラリー(hanjee Hair Gallery),,東京都目黒区青葉台１‐１８‐７　カスタリア中目黒　１０８ 
ケイト(Kate),,東京都目黒区東山１‐８‐６‐１０２ 
イーズ(e's),,東京都目黒区上目黒３－１０－３　メイツ扶翼中目黒１０３　　 
アーク(ARC+),,東京都渋谷区猿楽町２０－７　ティスモ代官山2F 
エーエムジー 中目黒店(AMG),,東京都目黒区上目黒３－３－１４ アサヒ電機朝日生命中目黒ビル１F 
